model,scale,params,benchmark,metric,value_pct,acc,acc_norm,nshot,source
bpebyte_rg,760M,760000000,arc_challenge,acc_norm,29.27,26.45,29.27,0,main/760M/bpebyte_root_greedy_760M/evals_mmlu_arcc/results.json
bpebyte_rg,760M,760000000,arc_easy,acc_norm,51.05,56.48,51.05,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,boolq,acc,45.47,45.47,,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,hellaswag,acc_norm,45.78,40.57,45.78,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,piqa,acc_norm,69.1,69.8,69.1,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
bpebyte_rg,760M,760000000,winogrande,acc,54.62,54.62,,0,main/760M/bpebyte_root_greedy_760M/evals_5bench/results.json
hybrid,1.3B,1300000000,arc_challenge,acc_norm,36.4,34.7,36.4,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
hybrid,1.3B,1300000000,arc_easy,acc_norm,65.3,69.2,65.3,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
hybrid,1.3B,1300000000,boolq,acc,65.0,65.0,,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
hybrid,1.3B,1300000000,hellaswag,acc_norm,58.0,45.6,58.0,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
hybrid,1.3B,1300000000,piqa,acc_norm,73.6,72.3,73.6,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
hybrid,1.3B,1300000000,winogrande,acc,61.8,61.8,,0,main/1.3B/hybrid_1p3B_leaf_B3/evals_fill/results.json
hybrid,100M,100000000,arc_challenge,acc_norm,22.9,20.4,22.9,0,main/100M/hybrid_100M/evals_fill/results.json
hybrid,100M,100000000,arc_easy,acc_norm,36.1,40.9,36.1,0,main/100M/hybrid_100M/evals_fill/results.json
hybrid,100M,100000000,boolq,acc,54.3,54.3,,0,main/100M/hybrid_100M/evals_fill/results.json
hybrid,100M,100000000,hellaswag,acc_norm,39.3,35.2,39.3,0,main/100M/hybrid_100M/evals_fill/results.json
hybrid,100M,100000000,piqa,acc_norm,61.0,61.6,61.0,0,main/100M/hybrid_100M/evals_fill/results.json
hybrid,100M,100000000,winogrande,acc,51.9,51.9,,0,main/100M/hybrid_100M/evals_fill/results.json
hybrid,300M,300000000,arc_challenge,acc_norm,26.5,23.1,26.5,0,main/300M/hybrid_300M/evals_fill/results.json
hybrid,300M,300000000,arc_easy,acc_norm,44.0,48.8,44.0,0,main/300M/hybrid_300M/evals_fill/results.json
hybrid,300M,300000000,boolq,acc,55.6,55.6,,0,main/300M/hybrid_300M/evals_fill/results.json
hybrid,300M,300000000,hellaswag,acc_norm,44.0,38.8,44.0,0,main/300M/hybrid_300M/evals_fill/results.json
hybrid,300M,300000000,piqa,acc_norm,65.4,66.7,65.4,0,main/300M/hybrid_300M/evals_fill/results.json
hybrid,300M,300000000,winogrande,acc,52.8,52.8,,0,main/300M/hybrid_300M/evals_fill/results.json
llama,1.3B,1300000000,arc_challenge,acc_norm,35.32,32.08,35.32,0,main/1.3B/llama_1.8B_paper/evals_mmlu_arcc/results.json
llama,1.3B,1300000000,arc_easy,acc_norm,65.45,69.11,65.45,0,main/1.3B/llama_1.8B_paper/evals_5bench/results.json
llama,1.3B,1300000000,boolq,acc,63.46,63.46,,0,main/1.3B/llama_1.8B_paper/evals_5bench/results.json
llama,1.3B,1300000000,hellaswag,acc_norm,62.24,47.22,62.24,0,main/1.3B/llama_1.8B_paper/evals_5bench/results.json
llama,1.3B,1300000000,piqa,acc_norm,75.3,74.86,75.3,0,main/1.3B/llama_1.8B_paper/evals_5bench/results.json
llama,1.3B,1300000000,winogrande,acc,61.56,61.56,,0,main/1.3B/llama_1.8B_paper/evals_5bench/results.json
llama,100M,100000000,arc_challenge,acc_norm,23.72,19.54,23.72,0,main/100M/llama_100M/eval_scaling/results.json
llama,100M,100000000,arc_easy,acc_norm,42.09,47.64,42.09,0,main/100M/llama_100M/eval_scaling/results.json
llama,100M,100000000,boolq,acc,61.7,61.7,,0,main/100M/llama_100M/evals_fill/results.json
